"ρco2","νD","c_co2","c_ur"
0.9,1.1,100.0,10.0
0.8,1.1,100.0,10.0
0.7000000000000001,1.1,100.0,10.0
0.9,1.1,60.0,10.0
0.8,1.1,60.0,10.0
0.7000000000000001,1.1,60.0,10.0
0.9,1.1,20.0,10.0
0.8,1.1,20.0,10.0
0.7000000000000001,1.1,20.0,10.0
0.75,1.25,120.0,10.0
0.7,1.25,120.0,10.0
0.6499999999999999,1.25,120.0,10.0
0.75,1.25,100.0,10.0
0.7,1.25,100.0,10.0
0.6499999999999999,1.25,100.0,10.0
0.75,1.25,80.0,10.0
0.7,1.25,80.0,10.0
0.6499999999999999,1.25,80.0,10.0
0.65,1.25,120.0,10.0
0.6,1.25,120.0,10.0
0.5499999999999999,1.25,120.0,10.0
0.65,1.25,100.0,10.0
0.6,1.25,100.0,10.0
0.5499999999999999,1.25,100.0,10.0
0.65,1.25,80.0,10.0
0.6,1.25,80.0,10.0
0.5499999999999999,1.25,80.0,10.0
0.55,1.25,120.0,10.0
0.5,1.25,120.0,10.0
0.45,1.25,120.0,10.0
0.55,1.25,100.0,10.0
0.5,1.25,100.0,10.0
0.45,1.25,100.0,10.0
0.55,1.25,80.0,10.0
0.5,1.25,80.0,10.0
0.45,1.25,80.0,10.0
0.75,1.25,80.0,10.0
0.7,1.25,80.0,10.0
0.6499999999999999,1.25,80.0,10.0
0.75,1.25,60.0,10.0
0.7,1.25,60.0,10.0
0.6499999999999999,1.25,60.0,10.0
0.75,1.25,40.0,10.0
0.7,1.25,40.0,10.0
0.6499999999999999,1.25,40.0,10.0
0.65,1.25,80.0,10.0
0.6,1.25,80.0,10.0
0.5499999999999999,1.25,80.0,10.0
0.65,1.25,60.0,10.0
0.6,1.25,60.0,10.0
0.5499999999999999,1.25,60.0,10.0
0.65,1.25,40.0,10.0
0.6,1.25,40.0,10.0
0.5499999999999999,1.25,40.0,10.0
0.55,1.25,80.0,10.0
0.5,1.25,80.0,10.0
0.45,1.25,80.0,10.0
0.55,1.25,60.0,10.0
0.5,1.25,60.0,10.0
0.45,1.25,60.0,10.0
0.55,1.25,40.0,10.0
0.5,1.25,40.0,10.0
0.45,1.25,40.0,10.0
0.75,1.25,40.0,10.0
0.7,1.25,40.0,10.0
0.6499999999999999,1.25,40.0,10.0
0.75,1.25,20.0,10.0
0.7,1.25,20.0,10.0
0.6499999999999999,1.25,20.0,10.0
0.75,1.25,0.0,10.0
0.7,1.25,0.0,10.0
0.6499999999999999,1.25,0.0,10.0
0.65,1.25,40.0,10.0
0.6,1.25,40.0,10.0
0.5499999999999999,1.25,40.0,10.0
0.65,1.25,20.0,10.0
0.6,1.25,20.0,10.0
0.5499999999999999,1.25,20.0,10.0
0.65,1.25,0.0,10.0
0.6,1.25,0.0,10.0
0.5499999999999999,1.25,0.0,10.0
0.55,1.25,40.0,10.0
0.5,1.25,40.0,10.0
0.45,1.25,40.0,10.0
0.55,1.25,20.0,10.0
0.5,1.25,20.0,10.0
0.45,1.25,20.0,10.0
0.55,1.25,0.0,10.0
0.5,1.25,0.0,10.0
0.45,1.25,0.0,10.0
